gene_orf	gene_symbol
DMEL_CG7697	CstF-64
DMEL_CG17293	Wdr82
DMEL_CG6222	su(s)
DMEL_CG1745	HP5
DMEL_CG8409	Su(var)205
DMEL_CG17489	RpL5
DMEL_CG2238	EF2
DMEL_CG1772	dap
DMEL_CG9193	PCNA
DMEL_CG43286	cnc
DMEL_CG9954	maf-S
DMEL_CG1800	pasha
DMEL_CG8730	drosha
DMEL_CG18112	Vps16B
DMEL_CG5127	Vps33B
DMEL_CG18174	Rpn11
DMEL_CG3416	Rpn8
DMEL_CG18292	CG18292
DMEL_CG8103	Mi-2
DMEL_CG18362	Mio
DMEL_CG3350	bigmax
DMEL_CG18375	ASPP
DMEL_CG5053	RASSF8
DMEL_CG18408	CAP
DMEL_CG3299	Vinc
DMEL_CG1849	run
DMEL_CG7959	Bgb
DMEL_CG7960	Bro
DMEL_CG5738	lolal
DMEL_CG1900	Rab40
DMEL_CG9291	EloC
DMEL_CG1975	Drep-2
DMEL_CG8357	Drep-1
DMEL_CG8364	Drep-3
DMEL_CG2096	flw
DMEL_CG6416	Zasp66
DMEL_CG2097	Sym
DMEL_CG2125	ci
DMEL_CG6054	Su(fu)
DMEL_CG2158	Nup50
DMEL_CG4799	Pen
DMEL_CG2160	Socs44A
DMEL_CG2204	Galphao
DMEL_CG5692	raps
DMEL_CG2246	CG2246
DMEL_CG6767	CG6767
DMEL_CG2709	CG2709
DMEL_CG31053	CG31053
DMEL_CG9474	Snap24
DMEL_CG2774	Snx1
DMEL_CG8282	Snx6
DMEL_CG2903	Hrs
DMEL_CG6521	Stam
DMEL_CG2944	gus
DMEL_CG2950	mxt
DMEL_CG32859	eIF4E-7
DMEL_CG30021	metro
DMEL_CG12196	egg
DMEL_CG14464	CG14464
DMEL_CG3075	Nf-YC
DMEL_CG3891	Nf-YA
DMEL_CG3086	MAPk-Ak2
DMEL_CG7393	p38b
DMEL_CG9836	CG9836
DMEL_CG3114	ewg
DMEL_CG3371	ebd1
DMEL_CG43427	CG43427
DMEL_CG44128	Src42A
DMEL_CG3162	LS2
DMEL_CG3582	U2af38
DMEL_CG33526	PNUTS
DMEL_CG9156	Pp1-13C
